TIMESTAMP,INDEX_NAME,OPEN_INDEX_VAL,HIGH_INDEX_VAL,CLOSE_INDEX_VAL,LOW_INDEX_VAL,TRADED_QTY,TURN_OVER
02-11-2015,NIFTY 50,8054.55,8060.7,8050.8,7995.6,140323983,6552.67
03-11-2015,NIFTY 50,8086.35,8100.35,8060.7,8031.75,136625382,5955.64
04-11-2015,NIFTY 50,8104.9,8116.1,8040.2,8027.3,125935846,5696.01
05-11-2015,NIFTY 50,8030.35,8031.2,7955.45,7944.1,136223827,6001.38
06-11-2015,NIFTY 50,7956.55,8002.65,7954.3,7926.15,226329409,8771.77
09-11-2015,NIFTY 50,7788.25,7937.75,7915.2,7771.7,218422388,9376.17
10-11-2015,NIFTY 50,7877.6,7885.1,7783.35,7772.85,170267413,7153.47
11-11-2015,NIFTY 50,7838.8,7847.95,7825.0,7819.1,22380435,1123.44
13-11-2015,NIFTY 50,7762.45,7775.1,7762.25,7730.9,165876819,7731.55
16-11-2015,NIFTY 50,7732.95,7838.85,7806.6,7714.15,154134885,6871.15
17-11-2015,NIFTY 50,7848.75,7860.45,7837.55,7793.0,149451211,6367.14
18-11-2015,NIFTY 50,7823.15,7843.4,7731.8,7725.05,148037721,6112.32
19-11-2015,NIFTY 50,7788.5,7854.9,7842.75,7765.45,136702518,7410.15
20-11-2015,NIFTY 50,7841.9,7906.95,7856.55,7817.8,156610433,7298.01
23-11-2015,NIFTY 50,7869.5,7877.5,7849.25,7825.2,130871603,6099.09
24-11-2015,NIFTY 50,7837.0,7870.35,7831.6,7812.65,134562905,6686.27
26-11-2015,NIFTY 50,7837.15,7897.1,7883.8,7832.0,226632193,11054.04
27-11-2015,NIFTY 50,7910.6,7959.3,7942.7,7879.45,154863047,7068.72
30-11-2015,NIFTY 50,7936.25,7966.0,7935.25,7922.8,223041699,15368.67
01-12-2015,NIFTY 50,7958.15,7972.15,7954.9,7934.15,142945421,6796.67
02-12-2015,NIFTY 50,7976.7,7979.3,7931.35,7910.8,130207404,6242.53
03-12-2015,NIFTY 50,7902.3,7912.3,7864.15,7853.3,129628400,5636.41
04-12-2015,NIFTY 50,7817.6,7821.4,7781.9,7775.7,157231681,7758.36
07-12-2015,NIFTY 50,7816.55,7825.4,7765.4,7746.05,141893279,6403.97
08-12-2015,NIFTY 50,7738.5,7771.25,7701.7,7685.45,139318392,5986.06
09-12-2015,NIFTY 50,7695.5,7702.85,7612.5,7606.9,144315690,6599.6
10-12-2015,NIFTY 50,7643.3,7691.95,7683.3,7610.0,145249292,6492.02
11-12-2015,NIFTY 50,7699.6,7703.05,7610.45,7575.3,172996480,6894.44
14-12-2015,NIFTY 50,7558.2,7663.95,7650.05,7551.05,153492615,6290.42
15-12-2015,NIFTY 50,7659.15,7705.0,7700.9,7625.1,138479057,6152.14
16-12-2015,NIFTY 50,7725.25,7776.6,7750.9,7715.75,159149338,6703.76
17-12-2015,NIFTY 50,7783.05,7852.9,7844.35,7737.55,181256780,7367.15
18-12-2015,NIFTY 50,7828.9,7836.15,7761.95,7753.35,197319843,8074.5
